"topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
2,-2252779.17011375,0.277525974536852,2029.5916234742,2.05825514472046
3,-2176986.22870277,0.260823166001428,1894.59209056068,2.11355239515079
4,-2137152.4258143,0.282827196690353,1822.03781261273,2.14932260960078
5,-2099256.71823848,0.257411949925758,1745.43784551047,2.20463925256292
6,-2074160.39574352,0.236378354162263,1686.32835929125,2.23983441297532
7,-2051265.12610961,0.231817623827055,1643.18181350385,2.24846655106287
8,-2046444.1794149,0.264298933490262,1620.74648702478,2.15579500033522
9,-2029726.61737337,0.237848393542594,1577.67179884999,2.17701024405011
10,-2021256.73982184,0.227775889027135,1551.43031828168,2.16699913198125
11,-2005854.39064261,0.216689865695254,1521.03723344038,2.17029474323742
12,-1998983.9104049,0.203638171039222,1492.40231328839,2.15155023800321
13,-1997483.13664745,0.202847773946631,1478.1795761118,2.12839778677656
14,-1984132.61754874,0.184372228047988,1441.97207010392,2.12885117233716
15,-1978255.38913152,0.180388932709446,1416.63154031494,2.12551204015967
