"topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
2,-2270789.98483973,0.215371225019489,2570.34698021801,2.44255011179363
3,-2179630.23108022,0.218598186601752,2401.97593914062,2.53520683735414
4,-2132913.66214247,0.206434029369109,2284.24126697903,2.47983766556804
5,-2076315.68468846,0.202586408671645,2201.9788622266,2.48260903614581
6,-2052045.0989413,0.221451902080151,2141.02652749532,2.46992226638874
7,-2017358.27341417,0.220132903967489,2083.06262645846,2.52052365587131
8,-2002798.47058999,0.212847236461209,2030.93651798824,2.48498913312421
9,-1978542.39768219,0.188710295961915,1972.09927412057,2.53443078102395
10,-1957244.37169364,0.18001179113542,1929.8982550013,2.51598749521214
11,-1961046.9895573,0.175116721659791,1895.49473061245,2.52954941283338
12,-1937335.27959136,0.187191253429189,1867.18982634642,2.51511339040295
13,-1927432.49023885,0.172925400794849,1830.16550804093,2.47377273186892
14,-1925849.14750389,0.177777378358772,1814.57684826845,2.49545321451328
15,-1913070.90603644,0.175065865597276,1781.05202605967,2.50440151840165
